Model,Epochs,Steps,Mode,Weighted,Experiment,ClientsOrder,Round,TotalClientRounds,F1,F1_std,Time(sec),Round_Communication(MB),Total_Communication(MB),00-WebDDoS(f1),00-WebDDoS(rounds),01-LDAP(f1),01-LDAP(rounds),02-Portmap(f1),02-Portmap(rounds),03-DNS(f1),03-DNS(rounds)
mlp,auto,auto,fedavg,False,0,0 1 2 3,1,4,0.72451,0.04232,014.53,0.1416,0.1416,0.76190,1,0.65909,1,0.76190,1,0.71515,1
mlp,auto,auto,fedavg,False,0,0 1 2 3,2,7,0.52934,0.46021,012.44,0.1239,0.2656,0.00000,2,0.98551,2,0.98795,2,0.14388,1
mlp,auto,auto,fedavg,False,0,0 1 2 3,3,10,0.52934,0.46021,007.87,0.1239,0.3895,0.00000,3,0.98551,2,0.98795,3,0.14388,2
mlp,auto,auto,fedavg,False,0,0 1 2 3,4,13,0.75893,0.34963,010.54,0.1239,0.5134,0.89655,4,1.00000,2,0.98204,4,0.15714,3
mlp,auto,auto,fedavg,False,0,0 1 2 3,5,16,0.75893,0.34963,009.64,0.1239,0.6373,0.89655,4,1.00000,3,0.98204,5,0.15714,4
mlp,auto,auto,fedavg,False,0,0 1 2 3,6,19,0.95877,0.03620,009.42,0.1239,0.7613,0.89655,5,0.97222,4,0.98204,5,0.98425,5
mlp,auto,auto,fedavg,False,0,0 1 2 3,7,22,0.95877,0.03620,001.29,0.1239,0.8852,0.89655,6,0.97222,5,0.98204,5,0.98425,6
mlp,auto,auto,fedavg,False,0,0 1 2 3,8,25,0.95877,0.03620,001.46,0.1239,1.0091,0.89655,7,0.97222,6,0.98204,6,0.98425,6
mlp,auto,auto,fedavg,False,0,0 1 2 3,9,28,0.95877,0.03620,001.09,0.1239,1.1331,0.89655,7,0.97222,7,0.98204,7,0.98425,7
mlp,auto,auto,fedavg,False,0,0 1 2 3,10,31,0.95877,0.03620,001.03,0.1239,1.2570,0.89655,8,0.97222,7,0.98204,8,0.98425,8
mlp,auto,auto,fedavg,False,0,0 1 2 3,11,34,0.95877,0.03620,001.78,0.1239,1.3809,0.89655,9,0.97222,8,0.98204,9,0.98425,8
mlp,auto,auto,fedavg,False,0,0 1 2 3,12,37,0.95877,0.03620,001.06,0.1239,1.5048,0.89655,10,0.97222,9,0.98204,9,0.98425,9
mlp,auto,auto,fedavg,False,0,0 1 2 3,13,40,0.95877,0.03620,001.21,0.1239,1.6288,0.89655,11,0.97222,10,0.98204,10,0.98425,9
mlp,auto,auto,fedavg,False,0,0 1 2 3,14,43,0.96447,0.03964,001.29,0.1239,1.7527,1.00000,12,0.89744,10,0.97619,11,0.98425,10
mlp,auto,auto,fedavg,False,0,0 1 2 3,15,46,0.96447,0.03964,001.12,0.1239,1.8766,1.00000,13,0.89744,11,0.97619,12,0.98425,10
mlp,auto,auto,fedavg,False,0,0 1 2 3,16,49,0.96447,0.03964,001.46,0.1239,2.0006,1.00000,13,0.89744,12,0.97619,13,0.98425,11
mlp,auto,auto,fedavg,False,0,0 1 2 3,17,52,0.96593,0.04015,001.02,0.1239,2.1245,1.00000,14,0.89744,12,0.98204,14,0.98425,12
mlp,auto,auto,fedavg,False,0,0 1 2 3,18,55,0.96593,0.04015,001.04,0.1239,2.2484,1.00000,14,0.89744,13,0.98204,15,0.98425,13
mlp,auto,auto,fedavg,False,0,0 1 2 3,19,58,0.96593,0.04015,001.36,0.1239,2.3723,1.00000,15,0.89744,14,0.98204,15,0.98425,14
mlp,auto,auto,fedavg,False,0,0 1 2 3,20,61,0.96593,0.04015,001.04,0.1239,2.4963,1.00000,16,0.89744,14,0.98204,16,0.98425,15
mlp,auto,auto,fedavg,False,0,0 1 2 3,21,64,0.96593,0.04015,000.89,0.1239,2.6202,1.00000,17,0.89744,14,0.98204,17,0.98425,16
mlp,auto,auto,fedavg,False,0,0 1 2 3,22,67,0.96593,0.04015,000.88,0.1239,2.7441,1.00000,18,0.89744,14,0.98204,18,0.98425,17
mlp,auto,auto,fedavg,False,0,0 1 2 3,23,70,0.96593,0.04015,001.28,0.1239,2.8680,1.00000,19,0.89744,15,0.98204,19,0.98425,17
mlp,auto,auto,fedavg,False,0,0 1 2 3,24,73,0.96738,0.03473,001.31,0.1239,2.9920,1.00000,20,0.90909,15,0.97619,20,0.98425,18
mlp,auto,auto,fedavg,False,0,0 1 2 3,25,76,0.96738,0.03473,001.12,0.1239,3.1159,1.00000,20,0.90909,16,0.97619,21,0.98425,19
mlp,auto,auto,fedavg,False,0,0 1 2 3,26,79,0.96884,0.03519,001.06,0.1239,3.2398,1.00000,21,0.90909,17,0.98204,21,0.98425,20
mlp,auto,auto,fedavg,False,0,0 1 2 3,27,82,0.96884,0.03519,001.04,0.1239,3.3638,1.00000,22,0.90909,18,0.98204,21,0.98425,21
mlp,auto,auto,fedavg,False,0,0 1 2 3,28,85,0.96884,0.03519,001.30,0.1239,3.4877,1.00000,23,0.90909,19,0.98204,22,0.98425,21
