Model,Round,AvgF1,00-WebDDoS(f1),00-WebDDoS(loss),01-LDAP(f1),01-LDAP(loss),02-Portmap(f1),02-Portmap(loss),03-DNS(f1),03-DNS(loss)
*mlp,1,0.00000,0.00000,0.05918,0.00000,1.61991,0.00000,0.19313,0.00000,0.05192
*mlp,2,0.52934,0.00000,0.01500,0.98551,1.00971,0.98795,0.21168,0.14388,0.05192
mlp,3,0.39609,0.85714,0.01211,0.33333,1.00971,0.25000,0.10288,0.14388,0.04805
*mlp,4,0.75893,0.89655,0.02570,1.00000,1.00971,0.98204,0.19652,0.15714,0.04652
mlp,5,0.75199,0.89655,0.02570,0.97222,0.09500,0.98204,0.07450,0.15714,0.04325
*mlp,6,0.95877,0.89655,0.01563,0.97222,0.16804,0.98204,0.07450,0.98425,0.04213
mlp,7,0.94749,0.89655,0.01153,0.92105,0.27617,0.98810,0.07450,0.98425,0.04448
mlp,8,0.94597,0.89655,0.00872,0.92105,0.27056,0.98204,0.05954,0.98425,0.04448
mlp,9,0.94298,0.89655,0.00872,0.90909,0.27371,0.98204,0.06041,0.98425,0.04338
mlp,10,0.94298,0.89655,0.00644,0.90909,0.27371,0.98204,0.06335,0.98425,0.04362
mlp,11,0.94298,0.89655,0.00586,0.90909,0.24136,0.98204,0.06445,0.98425,0.04362
mlp,12,0.94298,0.89655,0.00499,0.90909,0.22789,0.98204,0.06445,0.98425,0.04422
mlp,13,0.94298,0.89655,0.00449,0.90909,0.22227,0.98204,0.06880,0.98425,0.04422
*mlp,14,0.96447,1.00000,0.00431,0.89744,0.22227,0.97619,0.06837,0.98425,0.04497
mlp,15,0.94298,0.89655,0.00673,0.90909,0.22488,0.98204,0.07812,0.98425,0.04497
mlp,16,0.94446,0.89655,0.00673,0.90909,0.21403,0.98795,0.07164,0.98425,0.04667
*mlp,17,0.96593,1.00000,0.00377,0.89744,0.21403,0.98204,0.07557,0.98425,0.04403
mlp,18,0.94298,0.89655,0.00377,0.90909,0.20086,0.98204,0.06845,0.98425,0.04828
mlp,19,0.94298,0.89655,0.00345,0.90909,0.16991,0.98204,0.06845,0.98425,0.04610
mlp,20,0.96447,1.00000,0.00336,0.89744,0.16991,0.97619,0.06866,0.98425,0.04807
mlp,21,0.96447,1.00000,0.00541,0.89744,0.16991,0.97619,0.07812,0.98425,0.04556
mlp,22,0.96447,1.00000,0.00544,0.89744,0.16991,0.97619,0.07681,0.98425,0.04490
mlp,23,0.94298,0.89655,0.00543,0.90909,0.16567,0.98204,0.07572,0.98425,0.04490
*mlp,24,0.96738,1.00000,0.00310,0.90909,0.16567,0.97619,0.06953,0.98425,0.04928
mlp,25,0.94298,0.89655,0.00310,0.90909,0.15490,0.98204,0.07077,0.98425,0.05198
*mlp,26,0.96884,1.00000,0.00286,0.90909,0.12540,0.98204,0.07077,0.98425,0.04853
mlp,27,0.94298,0.89655,0.00494,0.90909,0.15118,0.98204,0.07077,0.98425,0.04534
mlp,28,0.94597,0.89655,0.00285,0.92105,0.12709,0.98204,0.06763,0.98425,0.04534
mlp,29,0.96738,1.00000,0.00289,0.90909,0.12709,0.97619,0.06957,0.98425,0.05149
mlp,30,0.96738,1.00000,0.00442,0.90909,0.12709,0.97619,0.07764,0.98425,0.04758
mlp,31,0.94597,0.89655,0.00445,0.92105,0.13257,0.98204,0.07597,0.98425,0.04758
mlp,32,0.94346,0.89655,0.00445,0.90909,0.11631,0.98795,0.06996,0.98024,0.05183
mlp,33,0.94346,0.89655,0.00445,0.90909,0.12338,0.98795,0.07187,0.98024,0.04506
mlp,34,0.94904,0.89655,0.00252,0.93333,0.10589,0.98204,0.07088,0.98425,0.04506
*mlp,35,0.97344,1.00000,0.00251,0.93333,0.10589,0.97619,0.06991,0.98425,0.05212
mlp,36,0.95052,0.89655,0.00251,0.93333,0.09680,0.98795,0.07123,0.98425,0.05507
mlp,37,0.94645,0.89655,0.00251,0.92105,0.09692,0.98795,0.07026,0.98024,0.04869
mlp,38,0.94346,0.89655,0.00251,0.90909,0.10100,0.98795,0.07019,0.98024,0.04463
mlp,39,0.97184,1.00000,0.00220,0.92105,0.08926,0.98204,0.07019,0.98425,0.04731
mlp,40,0.94645,0.89655,0.00220,0.92105,0.09527,0.98795,0.06522,0.98024,0.05052
mlp,41,0.95877,0.89655,0.00207,0.97222,0.08044,0.98204,0.06749,0.98425,0.05052
*mlp,42,0.98463,1.00000,0.00221,0.97222,0.04943,0.98204,0.06861,0.98425,0.05052
mlp,43,0.96738,1.00000,0.00372,0.90909,0.05578,0.97619,0.06861,0.98425,0.04949
mlp,44,0.95220,0.89655,0.00385,0.94595,0.09351,0.98204,0.07573,0.98425,0.04949
mlp,45,0.97984,1.00000,0.00213,0.95890,0.09351,0.97619,0.06981,0.98425,0.05385
mlp,46,0.96024,0.89655,0.00213,0.97222,0.06119,0.98795,0.07374,0.98425,0.05655
mlp,47,0.97984,1.00000,0.00208,0.95890,0.06119,0.97619,0.06997,0.98425,0.05020
mlp,48,0.95877,0.89655,0.00369,0.97222,0.05897,0.98204,0.07473,0.98425,0.05020
mlp,49,0.97984,1.00000,0.00199,0.95890,0.05897,0.97619,0.06916,0.98425,0.05528
mlp,50,0.96024,0.89655,0.00199,0.97222,0.05459,0.98795,0.07351,0.98425,0.05742
mlp,51,0.97984,1.00000,0.00196,0.95890,0.05459,0.97619,0.06979,0.98425,0.05066
mlp,52,0.95877,0.89655,0.00363,0.97222,0.05362,0.98204,0.07460,0.98425,0.05066
mlp,53,0.97984,1.00000,0.00199,0.95890,0.03682,0.97619,0.07460,0.98425,0.05542
