Model,Epochs,Steps,Mode,Weighted,Experiment,ClientsOrder,Round,TotalClientRounds,F1,F1_std,Time(sec),Round_Communication(MB),Total_Communication(MB),00-WebDDoS(f1),00-WebDDoS(rounds),01-LDAP(f1),01-LDAP(rounds),02-Portmap(f1),02-Portmap(rounds),03-DNS(f1),03-DNS(rounds)
mlp,auto,auto,fedavg,False,0,0 1 2 3,1,4,0.81808,0.18837,015.07,0.0712,0.0712,0.82759,1,0.50746,1,0.96471,1,0.97255,1
mlp,auto,auto,fedavg,False,0,0 1 2 3,2,7,0.81808,0.18837,002.39,0.0711,0.1424,0.82759,2,0.50746,1,0.96471,2,0.97255,2
mlp,auto,auto,fedavg,False,0,0 1 2 3,3,10,0.81808,0.18837,003.78,0.0711,0.2135,0.82759,3,0.50746,2,0.96471,2,0.97255,3
mlp,auto,auto,fedavg,False,0,0 1 2 3,4,13,0.81808,0.18837,011.81,0.0711,0.2846,0.82759,3,0.50746,3,0.96471,3,0.97255,4
mlp,auto,auto,fedavg,False,0,0 1 2 3,5,16,0.81808,0.18837,008.24,0.0711,0.3557,0.82759,4,0.50746,3,0.96471,4,0.97255,5
mlp,auto,auto,fedavg,False,0,0 1 2 3,6,19,0.81808,0.18837,004.16,0.0711,0.4269,0.82759,5,0.50746,4,0.96471,5,0.97255,5
mlp,auto,auto,fedavg,False,0,0 1 2 3,7,22,0.81808,0.18837,009.25,0.0711,0.4980,0.82759,6,0.50746,4,0.96471,6,0.97255,6
mlp,auto,auto,fedavg,False,0,0 1 2 3,8,25,0.81808,0.18837,003.16,0.0711,0.5691,0.82759,7,0.50746,5,0.96471,7,0.97255,6
mlp,auto,auto,fedavg,False,0,0 1 2 3,9,28,0.81808,0.18837,006.74,0.0711,0.6402,0.82759,8,0.50746,5,0.96471,8,0.97255,7
mlp,auto,auto,fedavg,False,0,0 1 2 3,10,31,0.81808,0.18837,010.70,0.0711,0.7114,0.82759,8,0.50746,6,0.96471,9,0.97255,8
mlp,auto,auto,fedavg,False,0,0 1 2 3,11,34,0.81808,0.18837,009.45,0.0711,0.7825,0.82759,8,0.50746,7,0.96471,10,0.97255,9
mlp,auto,auto,fedavg,False,0,0 1 2 3,12,37,0.81808,0.18837,007.99,0.0711,0.8536,0.82759,9,0.50746,7,0.96471,11,0.97255,10
mlp,auto,auto,fedavg,False,0,0 1 2 3,13,40,0.81808,0.18837,003.72,0.0711,0.9247,0.82759,10,0.50746,8,0.96471,12,0.97255,10
mlp,auto,auto,fedavg,False,0,0 1 2 3,14,43,0.81808,0.18837,008.05,0.0711,0.9959,0.82759,11,0.50746,8,0.96471,13,0.97255,11
mlp,auto,auto,fedavg,False,0,0 1 2 3,15,46,0.84649,0.19490,009.34,0.0711,1.0670,0.89655,12,0.51515,8,0.99401,14,0.98024,12
mlp,auto,auto,fedavg,False,0,0 1 2 3,16,49,0.84649,0.19490,001.02,0.0711,1.1381,0.89655,13,0.51515,8,0.99401,15,0.98024,13
mlp,auto,auto,fedavg,False,0,0 1 2 3,17,52,0.84649,0.19490,003.97,0.0711,1.2093,0.89655,14,0.51515,9,0.99401,16,0.98024,13
mlp,auto,auto,fedavg,False,0,0 1 2 3,18,55,0.84928,0.19016,004.14,0.0711,1.2804,0.89655,14,0.52632,10,0.99401,17,0.98024,14
mlp,auto,auto,fedavg,False,0,0 1 2 3,19,58,0.85028,0.19085,003.59,0.0711,1.3515,0.89655,15,0.52632,11,0.99401,18,0.98425,14
mlp,auto,auto,fedavg,False,0,0 1 2 3,20,61,0.85028,0.19085,001.60,0.0711,1.4226,0.89655,16,0.52632,11,0.99401,19,0.98425,15
mlp,auto,auto,fedavg,False,0,0 1 2 3,21,64,0.85028,0.19085,003.61,0.0711,1.4938,0.89655,16,0.52632,12,0.99401,20,0.98425,16
mlp,auto,auto,fedavg,False,0,0 1 2 3,22,67,0.85028,0.19085,001.23,0.0711,1.5649,0.89655,17,0.52632,12,0.99401,21,0.98425,17
mlp,auto,auto,fedavg,False,0,0 1 2 3,23,70,0.85028,0.19085,004.14,0.0711,1.6360,0.89655,18,0.52632,13,0.99401,21,0.98425,18
mlp,auto,auto,fedavg,False,0,0 1 2 3,24,73,0.85028,0.19085,001.30,0.0711,1.7071,0.89655,19,0.52632,13,0.99401,22,0.98425,19
mlp,auto,auto,fedavg,False,0,0 1 2 3,25,76,0.85028,0.19085,000.91,0.0711,1.7783,0.89655,20,0.52632,13,0.99401,23,0.98425,20
mlp,auto,auto,fedavg,False,0,0 1 2 3,26,79,0.85028,0.19085,001.06,0.0711,1.8494,0.89655,21,0.52632,13,0.99401,24,0.98425,21
mlp,auto,auto,fedavg,False,0,0 1 2 3,27,82,0.85028,0.19085,001.68,0.0711,1.9205,0.89655,22,0.52632,13,0.99401,25,0.98425,22
mlp,auto,auto,fedavg,False,0,0 1 2 3,28,85,0.90953,0.08889,003.82,0.0711,1.9917,0.89655,23,0.76923,14,0.98810,26,0.98425,22
mlp,auto,auto,fedavg,False,0,0 1 2 3,29,88,0.91167,0.08553,001.36,0.0711,2.0628,0.89655,24,0.77778,14,0.98810,27,0.98425,23
mlp,auto,auto,fedavg,False,0,0 1 2 3,30,91,0.91167,0.08553,001.79,0.0711,2.1339,0.89655,24,0.77778,15,0.98810,28,0.98425,24
mlp,auto,auto,fedavg,False,0,0 1 2 3,31,94,0.91167,0.08553,002.33,0.0711,2.2050,0.89655,25,0.77778,16,0.98810,29,0.98425,24
mlp,auto,auto,fedavg,False,0,0 1 2 3,32,97,0.91385,0.08213,002.30,0.0711,2.2762,0.89655,26,0.78652,17,0.98810,30,0.98425,24
mlp,auto,auto,fedavg,False,0,0 1 2 3,33,100,0.91385,0.08213,002.44,0.0711,2.3473,0.89655,26,0.78652,18,0.98810,31,0.98425,25
mlp,auto,auto,fedavg,False,0,0 1 2 3,34,103,0.91385,0.08213,001.74,0.0711,2.4184,0.89655,26,0.78652,19,0.98810,32,0.98425,26
mlp,auto,auto,fedavg,False,0,0 1 2 3,35,106,0.91385,0.08213,002.95,0.0711,2.4895,0.89655,27,0.78652,20,0.98810,32,0.98425,27
mlp,auto,auto,fedavg,False,0,0 1 2 3,36,109,0.91385,0.08213,001.77,0.0711,2.5607,0.89655,28,0.78652,21,0.98810,32,0.98425,28
mlp,auto,auto,fedavg,False,0,0 1 2 3,37,112,0.91385,0.08213,002.57,0.0711,2.6318,0.89655,29,0.78652,22,0.98810,32,0.98425,29
mlp,auto,auto,fedavg,False,0,0 1 2 3,38,115,0.91385,0.08213,002.30,0.0711,2.7029,0.89655,29,0.78652,23,0.98810,33,0.98425,30
mlp,auto,auto,fedavg,False,0,0 1 2 3,39,118,0.91385,0.08213,002.95,0.0711,2.7740,0.89655,30,0.78652,24,0.98810,34,0.98425,30
mlp,auto,auto,fedavg,False,0,0 1 2 3,40,121,0.91385,0.08213,001.19,0.0711,2.8452,0.89655,31,0.78652,24,0.98810,35,0.98425,31
mlp,auto,auto,fedavg,False,0,0 1 2 3,41,124,0.91385,0.08213,002.94,0.0711,2.9163,0.89655,32,0.78652,25,0.98810,35,0.98425,32
mlp,auto,auto,fedavg,False,0,0 1 2 3,42,127,0.91385,0.08213,001.18,0.0711,2.9874,0.89655,33,0.78652,25,0.98810,36,0.98425,33
mlp,auto,auto,fedavg,False,0,0 1 2 3,43,130,0.91609,0.07869,001.31,0.0711,3.0585,0.89655,34,0.79545,25,0.98810,37,0.98425,34
mlp,auto,auto,fedavg,False,0,0 1 2 3,44,133,0.91609,0.07869,001.46,0.0711,3.1297,0.89655,35,0.79545,26,0.98810,38,0.98425,34
mlp,auto,auto,fedavg,False,0,0 1 2 3,45,136,0.91609,0.07869,001.61,0.0711,3.2008,0.89655,35,0.79545,27,0.98810,39,0.98425,35
mlp,auto,auto,fedavg,False,0,0 1 2 3,46,139,0.91837,0.07520,001.48,0.0711,3.2719,0.89655,35,0.80460,28,0.98810,40,0.98425,36
mlp,auto,auto,fedavg,False,0,0 1 2 3,47,142,0.91837,0.07520,001.53,0.0711,3.3431,0.89655,35,0.80460,29,0.98810,41,0.98425,37
mlp,auto,auto,fedavg,False,0,0 1 2 3,48,145,0.91837,0.07520,001.88,0.0711,3.4142,0.89655,35,0.80460,30,0.98810,42,0.98425,38
mlp,auto,auto,fedavg,False,0,0 1 2 3,49,148,0.91837,0.07520,001.20,0.0711,3.4853,0.89655,36,0.80460,30,0.98810,43,0.98425,39
mlp,auto,auto,fedavg,False,0,0 1 2 3,50,151,0.92071,0.07169,001.26,0.0711,3.5564,0.89655,37,0.81395,30,0.98810,44,0.98425,40
mlp,auto,auto,fedavg,False,0,0 1 2 3,51,154,0.92071,0.07169,001.49,0.0711,3.6276,0.89655,38,0.81395,31,0.98810,45,0.98425,40
