Model,Round,AvgF1,00-WebDDoS(f1),00-WebDDoS(loss),01-LDAP(f1),01-LDAP(loss),02-Portmap(f1),02-Portmap(loss),03-DNS(f1),03-DNS(loss)
*mlp,1,0.81808,0.82759,0.05918,0.50746,1.61991,0.96471,0.19313,0.97255,0.05192
*mlp,2,0.81808,0.82759,0.09065,0.50746,1.61991,0.96471,0.30089,0.97255,0.40956
mlp,3,0.41021,0.00000,0.15461,0.51515,1.15859,0.98182,0.30089,0.14388,0.31268
mlp,4,0.47683,0.00000,0.15461,0.78161,1.14524,0.98182,0.16209,0.14388,0.05070
mlp,5,0.41321,0.00000,0.11160,0.52713,1.14524,0.98182,0.11906,0.14388,0.05376
mlp,6,0.41424,0.00000,0.13986,0.53125,1.29468,0.98182,0.10094,0.14388,0.05376
mlp,7,0.50851,0.11765,0.02424,0.79070,1.29468,0.98182,0.08887,0.14388,0.05324
mlp,8,0.53466,0.22222,0.09003,0.79070,1.27182,0.98182,0.07953,0.14388,0.05324
mlp,9,0.70250,0.89655,0.03979,0.78161,1.27182,0.98795,0.07402,0.14388,0.05020
mlp,10,0.70581,0.89655,0.03979,0.78161,1.37450,0.98795,0.06950,0.15714,0.04957
mlp,11,0.70581,0.89655,0.03979,0.78161,1.37629,0.98795,0.06734,0.15714,0.04751
mlp,12,0.64371,0.89655,0.01782,0.52713,1.37629,0.99401,0.06545,0.15714,0.04894
mlp,13,0.64071,0.89655,0.01786,0.51515,1.53407,0.99401,0.06074,0.15714,0.04894
mlp,14,0.64071,0.89655,0.01871,0.51515,1.53407,0.99401,0.05722,0.15714,0.04586
*mlp,15,0.84649,0.89655,0.01809,0.51515,1.53407,0.99401,0.05767,0.98024,0.04685
*mlp,16,0.84649,0.89655,0.01158,0.51515,1.53407,0.99401,0.05675,0.98024,0.04115
*mlp,17,0.84649,0.89655,0.01528,0.51515,1.53894,0.99401,0.05652,0.98024,0.04115
*mlp,18,0.84928,0.89655,0.01528,0.52632,1.49783,0.99401,0.05423,0.98024,0.04061
*mlp,19,0.85028,0.89655,0.01453,0.52632,1.45945,0.99401,0.05279,0.98425,0.04061
mlp,20,0.84880,0.89655,0.00975,0.52632,1.45945,0.98810,0.05335,0.98425,0.04140
mlp,21,0.84880,0.89655,0.00975,0.52632,1.39018,0.98810,0.05437,0.98425,0.04491
mlp,22,0.84880,0.89655,0.00893,0.52632,1.39018,0.98810,0.05614,0.98425,0.04572
mlp,23,0.84880,0.89655,0.01184,0.52632,1.31698,0.98810,0.05614,0.98425,0.04910
mlp,24,0.84880,0.89655,0.00891,0.52632,1.31698,0.98810,0.05778,0.98425,0.04678
mlp,25,0.84880,0.89655,0.00789,0.52632,1.31698,0.98810,0.05858,0.98425,0.04701
mlp,26,0.84880,0.89655,0.00797,0.52632,1.31698,0.98810,0.05818,0.98425,0.04629
mlp,27,0.84880,0.89655,0.00750,0.52632,1.31698,0.98810,0.05932,0.98425,0.04700
*mlp,28,0.90953,0.89655,0.00898,0.76923,1.24422,0.98810,0.05987,0.98425,0.04700
