Model,Epochs,Steps,Mode,Weighted,Experiment,ClientsOrder,Round,TotalClientRounds,F1,F1_std,Time(sec),Round_Communication(MB),Total_Communication(MB),client1(f1),client1(rounds),client2(f1),client2(rounds),client3(f1),client3(rounds),client4(f1),client4(rounds),client5(f1),client5(rounds)
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,1,5,0.44803,0.38968,008.17,0.0933,0.0933,0.00000,1,0.16000,1,0.25000,1,0.90909,1,0.92105,1
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,2,9,0.70680,0.17073,002.37,0.0923,0.1856,0.66667,2,0.46667,2,0.60000,1,0.90909,2,0.89157,2
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,3,13,0.86855,0.11215,001.32,0.0923,0.2779,0.90909,3,0.64706,2,0.92308,2,0.95652,3,0.90698,3
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,4,17,0.86855,0.11215,001.00,0.0923,0.3702,0.90909,4,0.64706,3,0.92308,3,0.95652,3,0.90698,4
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,5,21,0.86855,0.11215,001.60,0.0923,0.4625,0.90909,5,0.64706,4,0.92308,4,0.95652,3,0.90698,5
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,6,25,0.86855,0.11215,001.31,0.0923,0.5548,0.90909,6,0.64706,4,0.92308,5,0.95652,4,0.90698,6
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,7,29,0.86855,0.11215,001.02,0.0923,0.6471,0.90909,7,0.64706,5,0.92308,5,0.95652,5,0.90698,7
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,8,33,0.86855,0.11215,001.32,0.0923,0.7395,0.90909,7,0.64706,6,0.92308,6,0.95652,6,0.90698,8
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,9,37,0.86855,0.11215,001.21,0.0923,0.8318,0.90909,8,0.64706,7,0.92308,7,0.95652,7,0.90698,8
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,10,41,0.86855,0.11215,002.10,0.0923,0.9241,0.90909,9,0.64706,8,0.92308,8,0.95652,7,0.90698,9
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,11,45,0.86855,0.11215,001.01,0.0923,1.0164,0.90909,10,0.64706,8,0.92308,9,0.95652,8,0.90698,10
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,12,49,0.86855,0.11215,001.30,0.0923,1.1087,0.90909,11,0.64706,8,0.92308,10,0.95652,9,0.90698,11
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,13,53,0.86855,0.11215,001.14,0.0923,1.2010,0.90909,12,0.64706,9,0.92308,11,0.95652,9,0.90698,12
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,14,57,0.86855,0.11215,001.78,0.0923,1.2933,0.90909,13,0.64706,10,0.92308,12,0.95652,9,0.90698,13
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,15,61,0.86855,0.11215,001.09,0.0923,1.3857,0.90909,13,0.64706,11,0.92308,13,0.95652,10,0.90698,14
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,16,65,0.86855,0.11215,001.36,0.0923,1.4780,0.90909,14,0.64706,12,0.92308,14,0.95652,11,0.90698,14
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,17,69,0.86855,0.11215,001.07,0.0923,1.5703,0.90909,15,0.64706,12,0.92308,15,0.95652,12,0.90698,15
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,18,73,0.86855,0.11215,001.06,0.0923,1.6626,0.90909,16,0.64706,12,0.92308,16,0.95652,13,0.90698,16
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,19,77,0.86855,0.11215,001.14,0.0923,1.7549,0.90909,17,0.64706,13,0.92308,17,0.95652,14,0.90698,16
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,20,81,0.86855,0.11215,001.47,0.0923,1.8472,0.90909,18,0.64706,14,0.92308,18,0.95652,15,0.90698,16
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,21,85,0.86855,0.11215,001.29,0.0923,1.9395,0.90909,19,0.64706,15,0.92308,19,0.95652,15,0.90698,17
