Model,Round,AvgF1,client1(f1),client1(loss),client2(f1),client2(loss),client3(f1),client3(loss),client4(f1),client4(loss),client5(f1),client5(loss)
*mlp,1,0.44803,0.00000,0.76512,0.16000,0.58342,0.25000,0.51714,0.90909,0.09832,0.92105,0.58938
*mlp,2,0.70680,0.66667,0.80642,0.46667,0.57727,0.60000,0.51714,0.90909,0.30310,0.89157,0.49293
*mlp,3,0.86855,0.90909,0.71226,0.64706,0.57727,0.92308,0.40192,0.95652,0.29557,0.90698,0.33419
mlp,4,0.81607,0.80000,0.69505,0.46667,0.43543,1.00000,0.24547,0.95652,0.29557,0.85714,0.43745
mlp,5,0.82456,0.92308,0.66070,0.46667,0.59528,0.88000,0.21864,0.95652,0.29557,0.89655,0.30198
mlp,6,0.83683,1.00000,0.69020,0.46667,0.59528,0.88000,0.40385,0.95652,0.27154,0.88095,0.27702
mlp,7,0.82227,0.80000,0.54566,0.51613,0.58546,1.00000,0.40385,0.95652,0.16357,0.83871,0.28548
mlp,8,0.81060,0.80000,0.54566,0.46667,0.56477,1.00000,0.13156,0.95652,0.15770,0.82979,0.31088
mlp,9,0.77401,0.80000,0.67580,0.35714,0.50357,0.88000,0.11196,0.95652,0.15895,0.87640,0.31088
mlp,10,0.80002,0.80000,0.68951,0.41379,0.57306,1.00000,0.11772,0.95652,0.15895,0.82979,0.29145
mlp,11,0.77207,0.80000,0.74921,0.35714,0.57306,0.88000,0.11584,0.95652,0.17176,0.86667,0.29977
mlp,12,0.79397,0.80000,0.81167,0.46667,0.57306,0.88000,0.44891,0.95652,0.24822,0.86667,0.28853
mlp,13,0.81703,0.80000,0.69555,0.51613,0.59874,1.00000,0.11331,0.95652,0.24822,0.81250,0.27341
mlp,14,0.79827,0.80000,0.67605,0.51613,0.40396,0.88000,0.12363,0.95652,0.24822,0.83871,0.29946
mlp,15,0.80196,0.80000,0.67605,0.51613,0.57872,0.88000,0.29489,0.95652,0.26152,0.85714,0.26843
mlp,16,0.79682,0.80000,0.71876,0.51613,0.59112,0.88000,0.43888,0.95652,0.26692,0.83146,0.26843
mlp,17,0.79682,0.80000,0.81021,0.51613,0.59112,0.88000,0.33673,0.95652,0.26569,0.83146,0.30177
mlp,18,0.81405,0.85714,0.82075,0.51613,0.59112,0.88000,0.43760,0.95652,0.25860,0.86047,0.28810
mlp,19,0.80465,0.80000,0.72077,0.51613,0.69423,0.88000,0.59696,0.95652,0.25692,0.87059,0.28810
mlp,20,0.81608,0.85714,0.73004,0.51613,0.61863,0.88000,0.43556,0.95652,0.24555,0.87059,0.28810
mlp,21,0.75783,0.61538,0.73787,0.46667,0.61798,0.88000,0.11234,0.95652,0.24555,0.87059,0.24298
mlp,22,0.74826,0.66667,0.73787,0.35714,0.67684,0.88000,0.41441,0.95652,0.25882,0.88095,0.25315
mlp,23,0.74826,0.66667,0.86185,0.35714,0.73030,0.88000,0.49942,0.95652,0.25598,0.88095,0.25315
mlp,24,0.75038,0.66667,0.87530,0.35714,0.73030,0.88000,0.65293,0.95652,0.25224,0.89157,0.25248
mlp,25,0.76171,0.66667,0.87906,0.41379,0.73030,0.88000,0.52809,0.95652,0.25131,0.89157,0.28179
mlp,26,0.77446,0.66667,0.87906,0.46667,0.70928,0.88000,0.55243,0.95652,0.24588,0.90244,0.28193
mlp,27,0.75455,0.66667,0.87906,0.41379,0.72593,0.83333,0.54405,0.95652,0.24240,0.90244,0.26764
mlp,28,0.75238,0.66667,0.87906,0.41379,0.81232,0.83333,0.65247,0.95652,0.24468,0.89157,0.26360
mlp,29,0.75455,0.66667,0.95138,0.41379,0.81232,0.83333,0.59467,0.95652,0.24744,0.90244,0.29210
