Model,Epochs,Steps,Mode,Weighted,Experiment,ClientsOrder,Round,TotalClientRounds,F1,F1_std,Time(sec),Round_Communication(MB),Total_Communication(MB),client1(f1),client1(rounds),client2(f1),client2(rounds),client3(f1),client3(rounds),client4(f1),client4(rounds),client5(f1),client5(rounds)
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,1,5,0.02667,0.05333,006.01,0.1770,0.1770,0.00000,1,0.00000,1,0.13333,1,0.00000,1,0.00000,1
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,2,9,0.42470,0.40406,007.31,0.1593,0.3364,0.00000,2,0.16000,2,0.13333,1,0.90909,2,0.92105,2
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,3,13,0.57929,0.30523,001.86,0.1593,0.4957,0.28571,3,0.16000,2,0.66667,2,0.90909,3,0.87500,3
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,4,17,0.63000,0.27393,002.62,0.1593,0.6550,0.50000,4,0.16000,3,0.72727,3,0.90909,3,0.85366,4
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,5,21,0.77401,0.20362,001.62,0.1593,0.8144,0.61538,5,0.46667,4,1.00000,4,0.95652,3,0.83146,5
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,6,25,0.77401,0.20362,001.16,0.1593,0.9737,0.61538,5,0.46667,5,1.00000,5,0.95652,4,0.83146,6
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,7,29,0.77401,0.20362,001.28,0.1593,1.1331,0.61538,6,0.46667,5,1.00000,6,0.95652,5,0.83146,7
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,8,33,0.77401,0.20362,001.32,0.1593,1.2924,0.61538,7,0.46667,5,1.00000,7,0.95652,6,0.83146,8
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,9,37,0.77401,0.20362,001.58,0.1593,1.4517,0.61538,8,0.46667,6,1.00000,8,0.95652,7,0.83146,8
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,10,41,0.77401,0.20362,002.24,0.1593,1.6111,0.61538,9,0.46667,7,1.00000,9,0.95652,7,0.83146,9
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,11,45,0.77401,0.20362,001.29,0.1593,1.7704,0.61538,10,0.46667,7,1.00000,10,0.95652,8,0.83146,10
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,12,49,0.77401,0.20362,001.30,0.1593,1.9297,0.61538,11,0.46667,7,1.00000,11,0.95652,9,0.83146,11
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,13,53,0.77401,0.20362,001.59,0.1593,2.0891,0.61538,12,0.46667,8,1.00000,12,0.95652,9,0.83146,12
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,14,57,0.77401,0.20362,002.35,0.1593,2.2484,0.61538,13,0.46667,9,1.00000,13,0.95652,9,0.83146,13
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,15,61,0.77401,0.20362,001.60,0.1593,2.4077,0.61538,13,0.46667,10,1.00000,14,0.95652,10,0.83146,14
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,16,65,0.77401,0.20362,001.94,0.1593,2.5671,0.61538,14,0.46667,11,1.00000,15,0.95652,11,0.83146,14
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,17,69,0.77401,0.20362,001.10,0.1593,2.7264,0.61538,15,0.46667,11,1.00000,16,0.95652,12,0.83146,15
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,18,73,0.77401,0.20362,001.90,0.1593,2.8858,0.61538,16,0.46667,11,1.00000,17,0.95652,13,0.83146,16
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,19,77,0.77401,0.20362,001.76,0.1593,3.0451,0.61538,17,0.46667,12,1.00000,18,0.95652,14,0.83146,16
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,20,81,0.77401,0.20362,001.91,0.1593,3.2044,0.61538,18,0.46667,13,1.00000,19,0.95652,15,0.83146,16
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,21,85,0.80073,0.20725,001.88,0.1593,3.3638,0.80000,19,0.41379,14,1.00000,20,0.95652,15,0.83333,17
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,22,89,0.80073,0.20725,001.61,0.1593,3.5231,0.80000,19,0.41379,15,1.00000,21,0.95652,16,0.83333,18
mlp,auto,auto,fedavg,False,0,0 1 2 3 4,23,93,0.80073,0.20725,001.30,0.1593,3.6824,0.80000,19,0.41379,16,1.00000,22,0.95652,17,0.83333,19
